nodeid,name,parentnodeid,nodetype,parentnodetype,parentrelation,weight
java:int:1,java web application development,java:int:1,domain,domain,-,0
java:int:2,basics,java:int:1,intent,intent,intentof,0
java:int:3,tutorials,java:int:1,intent,intent,intentof,0
java:int:4,example,java:int:1,intent,intent,intentof,0
java:int:5,complete reference,java:int:1,intent,intent,intentof,0
java:int:6,trouble shooting,java:int:1,intent,intent,intentof,0
java:int:7,main,java:int:2,term,intent,indicatorof,3
java:int:8,fundamental,java:int:2,term,intent,indicatorof,0
java:int:9,essential,java:int:2,term,intent,indicatorof,0
java:int:10,beginner,java:int:2,term,intent,indicatorof,9
java:int:11,basics,java:int:2,term,intent,indicatorof,6
java:int:12,model,java:int:2,term,intent,counterindicatorof,4
java:int:13,secondary,java:int:2,term,intent,counterindicatorof,6
java:int:14,additional,java:int:2,term,intent,counterindicatorof,3
java:int:15,auxillary,java:int:2,term,intent,counterindicatorof,7
java:int:16,snippets,java:int:2,term,intent,counterindicatorof,3
java:int:17,acedemic,java:int:3,term,intent,indicatorof,7
java:int:18,informational,java:int:3,term,intent,indicatorof,7
java:int:19,informational,java:int:10,term,term,indicatorof,6
java:int:20,instructive,java:int:10,term,term,indicatorof,8
java:int:21,instructive,java:int:3,term,intent,indicatorof,8
java:int:22,guidance,java:int:3,term,intent,indicatorof,7
java:int:23,instructional,java:int:3,term,intent,indicatorof,8
java:int:24,tutorials,java:int:3,term,intent,indicatorof,8
java:int:25,primary,java:int:10,term,term,counterindicatorof,8
java:int:26,primitive,java:int:10,term,term,counterindicatorof,6
java:int:27,foundation,java:int:10,term,term,counterindicatorof,5
java:int:28,source code,java:int:27,term,term,indicatorof,6
java:int:29,guidance,java:int:27,term,term,indicatorof,7
java:int:30,beginner,java:int:27,term,term,counterindicatorof,5
java:int:31,fundamental,java:int:10,term,term,counterindicatorof,6
java:int:32,training,java:int:3,term,intent,indicatorof,7
java:int:33,primary,java:int:3,term,intent,counterindicatorof,6
java:int:34,primitive,java:int:3,term,intent,counterindicatorof,5
java:int:35,foundation,java:int:3,term,intent,counterindicatorof,7
java:int:36,fundamental,java:int:3,term,intent,counterindicatorof,8
java:int:37,beginner,java:int:3,term,intent,counterindicatorof,7
java:int:38,source code,java:int:4,term,intent,indicatorof,8
java:int:39,reference,java:int:4,term,intent,indicatorof,6
java:int:40,relating,java:int:4,term,intent,indicatorof,6
java:int:41,snippets,java:int:4,term,intent,indicatorof,7
java:int:42,sample,java:int:4,term,intent,indicatorof,8
java:int:43,expression,java:int:4,term,intent,indicatorof,5
java:int:44,model,java:int:4,term,intent,indicatorof,8
java:int:45,instance,java:int:4,term,intent,indicatorof,6
java:int:46,class,java:int:4,term,intent,indicatorof,7
java:int:47,function,java:int:4,term,intent,indicatorof,6
java:int:48,instructive,java:int:4,term,intent,counterindicatorof,5
java:int:49,guidance,java:int:4,term,intent,counterindicatorof,8
java:int:50,informational,java:int:4,term,intent,counterindicatorof,4
java:int:51,simple,java:int:4,term,intent,counterindicatorof,6
java:int:52,primary,java:int:4,term,intent,counterindicatorof,5
java:int:53,model,java:int:4,term,intent,counterindicatorof,4
java:int:54,essential,java:int:4,term,intent,counterindicatorof,3
java:int:55,note,java:int:5,term,intent,indicatorof,7
java:int:56,implementation,java:int:5,term,intent,indicatorof,8
java:int:57,relating,java:int:5,term,intent,indicatorof,6
java:int:58,indicates,java:int:5,term,intent,indicatorof,7
java:int:59,meaning,java:int:5,term,intent,indicatorof,6
java:int:60,source code,java:int:5,term,intent,indicatorof,6
java:int:61,advance,java:int:5,term,intent,indicatorof,6
java:int:62,refer to,java:int:5,term,intent,indicatorof,7
java:int:63,extract,java:int:5,term,intent,indicatorof,6
java:int:64,give us example,java:int:5,term,intent,indicatorof,8
java:int:65,sample,java:int:5,term,intent,counterindicatorof,6
java:int:66,expression,java:int:5,term,intent,counterindicatorof,7
java:int:67,snippets,java:int:5,term,intent,counterindicatorof,5
java:int:68,guidance,java:int:5,term,intent,counterindicatorof,7
java:int:69,source,java:int:5,term,intent,counterindicatorof,4
java:int:70,rectify,java:int:6,term,intent,indicatorof,7
java:int:71,fix,java:int:6,term,intent,indicatorof,7
java:int:72,service,java:int:6,term,intent,indicatorof,6
java:int:73,improve,java:int:6,term,intent,indicatorof,5
java:int:74,support,java:int:6,term,intent,indicatorof,6
java:int:75,repair,java:int:6,term,intent,indicatorof,7
java:int:76,note,java:int:36,term,term ,indicatorof,8
java:int:77,implementation,java:int:36,term,term,indicatorof,8
java:int:78,give us example,java:int:36,term,term,indicatorof,7
java:int:79,sample,java:int:36,term,term,counterindicatorof,7
java:int:80,expression,java:int:36,term,term,counterindicatorof,7
java:int:81,getting started,java:int:1,intent,intent,intentof,7
java:int:82,helloworld,java:int:81,term,intent,indicatorof,7
java:int:83,how to code,java:int:81,term,intent,indicatorof,7
